<<<<<<< .mine
,numJuvs,input_slp,cal_slp,colFd,calTot,med_rnk
75,2500.0,0.5,1250.0,500.0,498.50040000000001,500.0
76,3500.0,0.10000000000000001,350.0,500.0,497.50142857142856,500.5
77,3500.0,0.20000000000000001,700.0,500.0,497.50071428571431,500.5
78,3500.0,0.90000000000000002,3150.0,500.0,497.50015873015872,500.5
79,3500.0,0.5,1750.0,500.0,497.50028571428572,500.5
80,458.0,0.10000000000000001,45.800000000000004,458.39999999999998,458.51091703056767,457.08400000001171
81,458.0,0.20000000000000001,91.600000000000009,458.39999999999998,458.50545851528386,457.08400000001171
82,458.0,0.90000000000000002,412.19999999999999,458.39999999999998,458.5012130033964,457.08400000001171
83,458.0,0.5,229.0,458.39999999999998,458.50218340611355,457.08400000001171
84,917.0,0.10000000000000001,91.700000000000003,458.39999999999998,457.50545256270448,457.58300000000003
