fileName,Date,numGens,notes
slp0.8_Rsk0.05_K100_var0.0_dslm0.6_rn309,07/07/2015,500,
slp0.8_Rsk0.05_K100_var0.0_dslm0.8_rn310,07/07/2015,500,
slp0.8_Rsk0.05_K100_var0.1_dslm0.6_rn311,07/07/2015,500,
slp0.8_Rsk0.05_K100_var0.1_dslm0.8_rn312,07/07/2015,500,
slp1_Rsk0.05_K100_var0.0_dslm0.6_rn313,07/07/2015,500,
slp1_Rsk0.05_K100_var0.0_dslm0.8_rn314,07/07/2015,500,
slp1_Rsk0.05_K100_var0.1_dslm0.6_rn315,07/07/2015,500,
slp1_Rsk0.05_K100_var0.1_dslm0.8_rn316,07/07/2015,500,
slp2.5_Rsk0.05_K100_var0.0_dslm0.6_rn317,07/07/2015,500,
slp2.5_Rsk0.05_K100_var0.0_dslm0.8_rn318,07/07/2015,500,
slp2.5_Rsk0.05_K100_var0.1_dslm0.6_rn319,07/07/2015,500,
slp2.5_Rsk0.05_K100_var0.1_dslm0.8_rn320,07/07/2015,500,
slp0.8_Rsk0.05_K100_var0.0_dslm0.6_rn321,11/07/2015,500,
slp0.8_Rsk0.05_K100_var0.0_dslm0.8_rn322,11/07/2015,500,
slp1_Rsk0.05_K100_var0.0_dslm0.6_rn323,11/07/2015,500,
slp1_Rsk0.05_K100_var0.0_dslm0.8_rn324,11/07/2015,500,
slp2.5_Rsk0.05_K100_var0.0_dslm0.6_rn325,11/07/2015,500,
slp2.5_Rsk0.05_K100_var0.0_dslm0.8_rn326,11/07/2015,500,
slp0.8_Rsk0.05_K100_var0.0_dslm0.6_rn327,14/07/2015,500,
slp0.8_Rsk0.05_K100_var0.0_dslm0.8_rn328,14/07/2015,500,
slp0.8_Rsk0.05_K100_var0.1_dslm0.6_rn329,14/07/2015,500,
slp0.8_Rsk0.05_K100_var0.1_dslm0.8_rn330,14/07/2015,500,
slp1_Rsk0.05_K100_var0.0_dslm0.6_rn331,14/07/2015,500,
slp1_Rsk0.05_K100_var0.0_dslm0.8_rn332,14/07/2015,500,
slp1_Rsk0.05_K100_var0.1_dslm0.6_rn333,14/07/2015,500,
slp1_Rsk0.05_K100_var0.1_dslm0.8_rn334,14/07/2015,500,
slp2.5_Rsk0.05_K100_var0.0_dslm0.6_rn335,14/07/2015,500,
slp2.5_Rsk0.05_K100_var0.0_dslm0.8_rn336,14/07/2015,500,
slp2.5_Rsk0.05_K100_var0.1_dslm0.6_rn337,14/07/2015,500,
slp2.5_Rsk0.05_K100_var0.1_dslm0.8_rn338,14/07/2015,500,
slp0.8_Rsk0.05_K100_var0.0_dslm0.6_rn339,23/07/2015,500,
slp0.8_Rsk0.05_K100_var0.0_dslm0.6_rn340,23/07/2015,500,
slp0.8_Rsk0.05_K100_var0.0_dslm0.8_rn341,23/07/2015,500,
slp0.8_Rsk0.05_K100_var0.1_dslm0.6_rn342,23/07/2015,500,
slp0.8_Rsk0.05_K100_var0.1_dslm0.8_rn343,23/07/2015,500,
slp1_Rsk0.05_K100_var0.0_dslm0.6_rn344,23/07/2015,500,
slp1_Rsk0.05_K100_var0.0_dslm0.8_rn345,23/07/2015,500,
slp1_Rsk0.05_K100_var0.1_dslm0.6_rn346,23/07/2015,500,
slp1_Rsk0.05_K100_var0.1_dslm0.8_rn347,23/07/2015,500,
slp2.5_Rsk0.05_K100_var0.0_dslm0.6_rn348,23/07/2015,500,
slp2.5_Rsk0.05_K100_var0.0_dslm0.8_rn349,23/07/2015,500,
slp2.5_Rsk0.05_K100_var0.1_dslm0.6_rn350,23/07/2015,500,
slp2.5_Rsk0.05_K100_var0.1_dslm0.8_rn351,23/07/2015,500,
slp0.4_Rsk0.05_K100_var0.0_dslm0.6_rn371,03/08/2015,500,
