type,col_age,col_id,rank,die,food,disperse,no_off
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
juv,5,1,0,0,0.0,NA,NA
Ad,5,1,0,0,0.553690978052475,0,6
Ad,5,1,1,0,0.5461909780524751,0,6
Ad,5,1,2,0,0.538690978052475,0,6
Ad,5,1,3,0,0.5311909780524751,0,5
Ad,5,1,4,0,0.523690978052475,0,5
Ad,5,1,5,0,0.516190978052475,0,5
Ad,5,1,6,0,0.508690978052475,0,5
Ad,5,1,7,0,0.501190978052475,0,5
Ad,5,1,8,0,0.493690978052475,0,5
Ad,5,1,9,0,0.486190978052475,0,5
Ad,5,1,10,0,0.478690978052475,0,5
Ad,5,1,11,0,0.47119097805247495,0,5
Ad,5,1,12,0,0.46369097805247494,0,5
Ad,5,1,13,0,0.45619097805247505,0,5
Ad,5,1,14,0,0.44869097805247504,0,5
Ad,5,1,15,0,0.441190978052475,0,5
Ad,5,1,16,0,0.433690978052475,0,5
Ad,5,1,17,0,0.42619097805247497,0,5
Ad,5,1,18,0,0.418690978052475,0,5
Ad,5,1,19,0,0.411190978052475,0,5
Ad,5,1,20,0,0.403690978052475,0,5
Ad,5,1,21,0,0.39619097805247494,0,5
Ad,5,1,22,0,0.388690978052475,0,5
Ad,5,1,23,0,0.381190978052475,0,4
Ad,5,1,24,0,0.37369097805247503,0,4
Ad,5,1,25,0,0.36619097805247497,0,4
Ad,5,1,26,0,0.358690978052475,0,4
Ad,5,1,27,0,0.351190978052475,0,4
Ad,5,1,28,0,0.343690978052475,0,4
Ad,5,1,29,0,0.336190978052475,0,4
Ad,5,1,30,0,0.328690978052475,0,4
Ad,5,1,31,0,0.32119097805247504,0,4
Ad,5,1,32,0,0.313690978052475,0,4
Ad,5,1,33,0,0.30619097805247497,0,4
Ad,5,1,34,0,0.298690978052475,0,4
Ad,5,1,35,0,0.29119097805247496,0,4
Ad,5,1,36,0,0.28369097805247495,0,4
Ad,5,1,37,0,0.276190978052475,0,4
Ad,5,1,38,0,0.26869097805247505,0,4
Ad,5,1,39,0,0.261190978052475,0,4
Ad,5,1,40,0,0.25369097805247504,0,4
Ad,5,1,41,0,0.24619097805247503,0,3
Ad,5,1,42,0,0.238690978052475,0,3
Ad,5,1,43,0,0.231190978052475,0,3
Ad,5,1,44,0,0.22369097805247498,0,3
Ad,5,1,45,0,0.216190978052475,0,3
Ad,5,1,46,0,0.20869097805247494,0,3
Ad,5,1,47,0,0.201190978052475,0,3
Ad,5,1,48,0,0.19369097805247495,0,3
Ad,5,1,49,0,0.18619097805247506,0,3
Ad,5,1,50,0,0.178690978052475,0,3
Ad,5,1,51,0,0.171190978052475,0,3
Ad,5,1,52,0,0.163690978052475,0,3
Ad,5,1,53,0,0.156190978052475,0,3
Ad,5,1,54,0,0.148690978052475,0,3
Ad,5,1,55,0,0.14119097805247496,0,2
Ad,5,1,56,0,0.13369097805247498,0,2
Ad,5,1,57,0,0.126190978052475,0,2
Ad,5,1,58,0,0.11869097805247494,0,2
Ad,5,1,59,0,0.11119097805247503,0,2
Ad,5,1,60,0,0.10369097805247501,0,2
juv,1,2,0,0,0.58307923831237285,NA,NA
juv,1,2,1,0,0.5285337837669184,NA,NA
juv,1,2,2,0,0.47398832922146383,NA,NA
juv,1,2,3,0,0.41944287467600921,NA,NA
juv,1,2,4,0,0.36489742013055476,NA,NA
juv,1,2,5,0,0.31035196558510025,NA,NA
juv,1,2,6,0,0.25580651103964563,NA,NA
juv,1,2,7,0,0.20126105649419113,NA,NA
juv,1,2,8,0,0.14671560194873656,NA,NA
juv,1,2,9,0,0.092170147403281999,NA,NA
juv,1,2,10,0,0.037624692857827498,NA,NA
Ad,1,2,0,0,0.3605100377808967,0,4
Ad,1,2,1,0,0.26051003778089665,0,4
Ad,1,2,2,0,0.16051003778089667,0,3
juv,1,3,0,0,0.65338319577356152,NA,NA
juv,1,3,1,0,0.58671652910689487,NA,NA
juv,1,3,2,0,0.52004986244022822,NA,NA
juv,1,3,3,0,0.45338319577356151,NA,NA
juv,1,3,4,0,0.38671652910689486,NA,NA
juv,1,3,5,0,0.32004986244022821,NA,NA
juv,1,3,6,0,0.25338319577356155,NA,NA
juv,1,3,7,0,0.18671652910689485,NA,NA
juv,1,3,8,0,0.12004986244022825,NA,NA
Ad,1,3,0,0,0.3348115010709465,0,4
Ad,1,3,1,0,0.23481150107094645,0,3
Ad,1,3,2,0,0.13481150107094647,0,2
juv,0,4,0,0,0.35207359487158585,NA,NA
juv,0,4,1,0,0.25207359487158587,NA,NA
juv,0,4,2,0,0.15207359487158587,NA,NA
juv,0,4,3,0,0.052073594871585846,NA,NA
juv,0,4,4,0,0,NA,NA
juv,0,4,5,0,0,NA,NA
Ad,0,4,1,0,0.7042355715028067,1,6
juv,0,5,0,0,0.36018107197998706,NA,NA
juv,0,5,1,0,0.26018107197998713,NA,NA
juv,0,5,2,0,0.1601810719799871,NA,NA
juv,0,5,3,0,0.060181071979987136,NA,NA
juv,0,5,4,0,0,NA,NA
juv,0,5,5,0,0,NA,NA
Ad,0,5,3,0,0.6520616584593284,1,6
juv,2,2,0,0,0.75360929606571259,NA,NA
juv,2,2,1,0,0.73822468068109715,NA,NA
juv,2,2,2,0,0.72284006529648182,NA,NA
juv,2,2,3,0,0.70745544991186649,NA,NA
juv,2,2,4,0,0.69207083452725104,NA,NA
juv,2,2,5,0,0.67668621914263571,NA,NA
juv,2,2,6,0,0.66130160375802027,NA,NA
juv,2,2,7,0,0.64591698837340494,NA,NA
juv,2,2,8,0,0.63053237298878961,NA,NA
juv,2,2,9,0,0.61514775760417406,NA,NA
juv,2,2,10,0,0.59976314221955873,NA,NA
juv,2,2,11,0,0.58437852683494329,NA,NA
juv,2,2,12,0,0.56899391145032796,NA,NA
juv,2,2,13,0,0.55360929606571263,NA,NA
juv,2,2,14,0,0.53822468068109719,NA,NA
juv,2,2,15,0,0.52284006529648186,NA,NA
juv,2,2,16,0,0.50745544991186653,NA,NA
juv,2,2,17,0,0.49207083452725103,NA,NA
juv,2,2,18,0,0.4766862191426357,NA,NA
juv,2,2,19,0,0.46130160375802037,NA,NA
juv,2,2,20,0,0.44591698837340493,NA,NA
juv,2,2,21,0,0.43053237298878955,NA,NA
juv,2,2,22,0,0.41514775760417416,NA,NA
juv,2,2,23,0,0.39976314221955878,NA,NA
juv,2,2,24,0,0.38437852683494333,NA,NA
juv,2,2,25,0,0.368993911450328,NA,NA
juv,2,2,26,0,0.35360929606571273,NA,NA
juv,2,2,27,0,0.33822468068109723,NA,NA
juv,2,2,28,0,0.32284006529648196,NA,NA
juv,2,2,29,0,0.30745544991186641,NA,NA
juv,2,2,30,0,0.29207083452725108,NA,NA
juv,2,2,31,0,0.27668621914263564,NA,NA
juv,2,2,32,0,0.26130160375802031,NA,NA
juv,2,2,33,0,0.24591698837340495,NA,NA
juv,2,2,34,0,0.23053237298878956,NA,NA
juv,2,2,35,0,0.21514775760417415,NA,NA
juv,2,2,36,0,0.19976314221955882,NA,NA
juv,2,2,37,0,0.18437852683494335,NA,NA
juv,2,2,38,0,0.1689939114503281,NA,NA
Ad,2,2,0,0,0.5830792383123728,0,6
Ad,2,2,1,0,0.5285337837669184,0,5
Ad,2,2,2,0,0.47398832922146383,0,5
Ad,2,2,3,0,0.4194428746760092,0,5
Ad,2,2,4,0,0.36489742013055476,0,4
Ad,2,2,5,0,0.31035196558510025,0,4
Ad,2,2,6,0,0.25580651103964563,0,4
Ad,2,2,7,0,0.20126105649419113,0,3
Ad,2,2,8,0,0.14671560194873656,0,3
juv,2,3,0,0,0.74025580236272392,NA,NA
juv,2,3,1,0,0.72525580236272391,NA,NA
juv,2,3,2,0,0.71025580236272401,NA,NA
juv,2,3,3,0,0.69525580236272388,NA,NA
juv,2,3,4,0,0.68025580236272398,NA,NA
juv,2,3,5,0,0.66525580236272386,NA,NA
juv,2,3,6,0,0.65025580236272396,NA,NA
juv,2,3,7,0,0.63525580236272394,NA,NA
juv,2,3,8,0,0.62025580236272393,NA,NA
juv,2,3,9,0,0.60525580236272392,NA,NA
juv,2,3,10,0,0.5902558023627239,NA,NA
juv,2,3,11,0,0.57525580236272389,NA,NA
juv,2,3,12,0,0.56025580236272388,NA,NA
juv,2,3,13,0,0.54525580236272386,NA,NA
juv,2,3,14,0,0.53025580236272385,NA,NA
juv,2,3,15,0,0.51525580236272395,NA,NA
juv,2,3,16,0,0.50025580236272393,NA,NA
juv,2,3,17,0,0.48525580236272398,NA,NA
juv,2,3,18,0,0.47025580236272396,NA,NA
juv,2,3,19,0,0.45525580236272395,NA,NA
juv,2,3,20,0,0.44025580236272394,NA,NA
juv,2,3,21,0,0.42525580236272392,NA,NA
juv,2,3,22,0,0.41025580236272391,NA,NA
juv,2,3,23,0,0.3952558023627239,NA,NA
juv,2,3,24,0,0.38025580236272388,NA,NA
juv,2,3,25,0,0.36525580236272387,NA,NA
juv,2,3,26,0,0.35025580236272386,NA,NA
juv,2,3,27,0,0.33525580236272395,NA,NA
juv,2,3,28,0,0.32025580236272388,NA,NA
juv,2,3,29,0,0.30525580236272387,NA,NA
