pop_age,Comp_slope,num_cols,meanK,Fd_ln,input_var,disp_rsk,ad_dsp_fd,min_juv_fd,min_no_off,max_no_off,min_ad_sze_off,max_ad_sze_off,colony_ID,colony_age,num_adsB4_dispersal,num_ads,numjuvs,colony_food,ave_food,dispersers,pot_juv_fd,cal_med_rnk,colAlive,num_juvs_moulting,new_col?,adSz_B4_min,adSz_B4_max,adSz_B4_mean,adSz_B4_SD,adSz_B4_ct,adSz_AF_min,adSz_AF_max,adSz_AF_mean,adSz_AF_SD,adSz_AF_ct,jvSz_B4_min,jvSz_B4_max,jvSz_B4_mean,jvSz_B4_SD,jvSz_B4_ct,jvSz_AF_min,jvSz_AF_max,jvSz_AF_mean,jvSz_AF_SD,jvSz_AF_ct
1,0.4,44,100.0,0.4,0.1,0.05,0.8,0.19,2,4,0.19,1,11,1,70,70,210,157.4850849053728,0.7499289757398704,0,0.61286801806280389,104.49599999999998,alive,210,No,0.6,0.6,0.60000000000000087,0.0,70,NA,NA,NA,NA,NA,0.55087373764463221,0.94896897573987027,0.74992135669225124,0.1155,210,0.5508737376446322,0.9489689757398703,0.74992135669225124,0.1155,210
1,0.4,44,100.0,0.4,0.1,0.05,0.8,0.19,2,4,0.19,1,12,1,77,77,231,165.0490680738014,0.7144981301896165,0,0.63449805242745649,114.99180000000001,alive,231,No,0.6,0.6,0.60000000000000087,0.0,77,NA,NA,NA,NA,NA,0.51534973192121825,0.91361813018961646,0.71448393105541719,0.1155,231,0.5153497319212182,0.9136181301896165,0.71448393105541719,0.1155,231
1,0.4,44,100.0,0.4,0.1,0.05,0.8,0.19,2,4,0.19,1,13,1,84,84,252,158.8083101099312,0.6301917067854412,0,0.65090054322629765,125.49600000000004,alive,252,No,0.6,0.6,0.60000000000000087,0.0,84,NA,NA,NA,NA,NA,0.43097900837274283,0.82939170678544127,0.63018535757909222,0.1155,252,0.43097900837274283,0.8293917067854413,0.63018535757909222,0.1155,252
1,0.4,44,100.0,0.4,0.1,0.05,0.8,0.19,2,4,0.19,1,14,1,91,91,273,161.28184804830246,0.5907760001769321,0,0.66163729973576257,136.00860000000006,alive,273,No,0.6,0.6,0.60000000000000098,0.0,91,NA,NA,NA,NA,NA,0.39152120164213366,0.79005600017693223,0.59078860090953111,0.1155,273,0.39152120164213366,0.7900560001769322,0.59078860090953111,0.1155,273
1,0.4,44,100.0,0.4,0.1,0.05,0.8,0.19,2,4,0.19,1,15,1,98,98,294,219.98045510805622,0.7482328405035926,0,0.66641740790366222,146.50019999999984,alive,294,No,0.6,0.6,0.60000000000000098,0.0,98,NA,NA,NA,NA,NA,0.54891338472127937,0.94755284050359245,0.74823311261243597,0.1155,294,0.5489133847212794,0.9475528405035925,0.74823311261243597,0.1155,294
1,0.4,44,100.0,0.4,0.1,0.05,0.8,0.19,2,4,0.19,1,16,1,105,105,315,195.75500856071685,0.6214444716213233,0,0.6651103275670428,156.9960000000001,alive,315,No,0.6,0.6,0.60000000000000098,0.0,105,NA,NA,NA,NA,NA,0.42207431289116465,0.82080447162132342,0.62143939225624423,0.1155,315,0.42207431289116465,0.8208044716213234,0.62143939225624423,0.1155,315
1,0.4,44,100.0,0.4,0.1,0.05,0.8,0.19,2,4,0.19,1,17,1,112,112,336,271.2116585306196,0.8071775551506536,0,0.65775181595932664,167.5631999999999,alive,336,No,0.6,0.6,0.60000000000000064,0.0,112,NA,NA,NA,NA,NA,0.60784803134112964,1,0.80718705459099049,0.1154,336,0.6078480313411296,1.0,0.80718705459099049,0.1154,336
1,0.4,44,100.0,0.4,0.1,0.05,0.8,0.19,2,4,0.19,1,18,1,119,119,357,228.02019738024663,0.6387120374796824,0,0.64454230234052012,178.00020000000012,alive,357,No,0.6,0.6,0.60000000000000031,0.0,119,NA,NA,NA,NA,NA,0.43927248565895421,0.83815203747968259,0.63871226156932015,0.1155,357,0.4392724856589542,0.8381520374796826,0.63871226156932015,0.1155,357
1,0.4,44,100.0,0.4,0.1,0.05,0.8,0.19,2,4,0.19,1,19,1,126,126,378,249.1365616149597,0.6590914328438088,0,0.62583781687189066,188.50859999999994,alive,378,No,0.6,0.6,0.59999999999999998,0.0,126,NA,NA,NA,NA,NA,0.45962963390200967,0.85857143284380877,0.6591005333729093,0.1155,378,0.45962963390200967,0.8585714328438088,0.6591005333729093,0.1155,378
1,0.4,44,100.0,0.4,0.1,0.05,0.8,0.19,2,4,0.19,1,20,1,133,133,399,233.01829472388346,0.5840057511876778,0,0.60213404675778814,198.98130000000015,alive,399,No,0.6,0.6,0.59999999999999964,0.0,133,NA,NA,NA,NA,NA,0.3844882574533422,0.78348575118767805,0.58398700432051021,0.1155,399,0.3844882574533422,0.783485751187678,0.58398700432051021,0.1155,399
