pop_age,colony_ID,num_adsB4_dispersal,dispersers,col_space
2,99,1,0,84.0
2,100,1,0,85.0
2,101,1,0,86.0
2,102,1,0,87.0
2,103,1,0,88.0
2,104,1,0,89.0
2,105,1,0,90.0
2,106,1,0,91.0
2,107,1,0,92.0
2,108,1,0,93.0
2,109,1,0,94.0
2,110,1,0,95.0
2,111,1,0,96.0
2,112,1,0,97.0
2,113,1,0,98.0
2,114,1,0,99.0
2,115,1,0,100.0
2,116,1,0,101.0
2,117,1,0,102.0
2,118,1,0,103.0
2,119,1,0,104.0
2,120,1,0,105.0
2,121,1,0,106.0
2,122,1,0,107.0
2,123,1,0,108.0
2,124,1,0,109.0
2,125,1,0,110.0
2,126,1,0,111.0
2,127,1,0,112.0
2,128,1,0,113.0
2,129,1,0,114.0
2,130,1,0,115.0
2,131,1,0,116.0
2,132,1,0,117.0
2,133,1,0,118.0
2,134,1,0,119.0
2,135,1,0,120.0
2,136,1,0,121.0
2,137,1,0,122.0
2,138,1,0,123.0
2,139,1,0,124.0
2,140,1,0,125.0
2,141,1,0,126.0
2,142,1,0,127.0
2,143,1,0,128.0
2,144,1,0,129.0
2,145,1,0,130.0
2,146,1,0,131.0
2,147,1,0,132.0
2,148,1,0,133.0
2,149,1,0,134.0
2,150,1,0,135.0
2,151,1,0,136.0
2,152,1,0,137.0
2,153,1,0,138.0
2,154,1,0,139.0
2,155,1,0,140.0
2,156,1,0,141.0
2,157,1,0,142.0
2,158,1,0,143.0
2,159,1,0,144.0
2,160,1,0,145.0
2,161,1,0,146.0
2,162,1,0,147.0
2,163,1,0,148.0
2,164,1,0,149.0
2,165,1,0,150.0
2,166,1,0,151.0
2,167,1,0,152.0
2,168,1,0,153.0
2,169,1,0,154.0
2,170,1,0,155.0
2,171,1,0,156.0
2,172,1,0,157.0
2,173,1,0,158.0
2,174,1,0,159.0
2,175,1,0,160.0
2,176,1,0,161.0
2,177,1,0,162.0
2,178,1,0,163.0
2,179,1,0,164.0
2,180,1,0,165.0
2,181,1,0,166.0
2,182,1,0,167.0
2,183,1,0,168.0
2,184,1,0,169.0
2,185,1,0,170.0
