pop_age,comp_type,Comp_slope,num_cols,meanK,Fd_ln,input_var,disp_rsk,ad_dsp_fd,min_juv_fd,min_no_off,max_no_off,min_ad_sze_off,max_ad_sze_off,juv_fd_lmt_disp,colony_ID,colony_age,num_adsB4_dispersal,num_ads,numjuvs,col_fd_B4_rnd,colony_food,ave_food,dispersers,pot_col_num_juvs,pot_juv_fd,cal_med_rnk,colAlive,num_juvs_moulting,new_col?,adSz_B4_min,adSz_B4_max,adSz_B4_mean,adSz_B4_SD,adSz_B4_ct,adSz_AF_min,adSz_AF_max,adSz_AF_mean,adSz_AF_SD,adSz_AF_ct,jvSz_B4_min,jvSz_B4_max,jvSz_B4_mean,jvSz_B4_SD,jvSz_B4_ct,jvSz_AF_min,jvSz_AF_max,jvSz_AF_mean,jvSz_AF_SD,jvSz_AF_ct
1,N,0.8,70,300.0,0.61,0,0.3,0.8,0.205,4,6,0.205,1,0.183,17,1,120,120,720,200.637536325,200.637536325,0.278663244896,0,720,0.278663244896,349.5888,alive,416,No,0.8,0.8,0.8,0.0,120,NA,NA,NA,NA,NA,0,0.667635484117,0.278662393463,0.2156,720,0.205883050181,0.667635484117,0.436759267149,0.1336,416
1,N,0.8,70,300.0,0.61,0,0.3,0.8,0.205,4,6,0.205,1,0.183,18,1,130,130,780,221.604467576,221.604467576,0.284108291764,0,780,0.284108291764,379.7898,alive,457,No,0.8,0.8,0.8,0.0,130,NA,NA,NA,NA,NA,0,0.674136327708,0.284104938498,0.2169,780,0.205843644781,0.674136327708,0.439989986244,0.1355,457
1,N,0.8,70,300.0,0.61,0,0.3,0.8,0.205,4,6,0.205,1,0.183,19,1,140,140,840,243.045269604,243.045269604,0.289339606672,0,840,0.289339606672,410.046,alive,499,No,0.8,0.8,0.8,0.0,140,NA,NA,NA,NA,NA,0,0.680325065551,0.289336535116,0.2182,840,0.20547405244,0.680325065551,0.442899558996,0.1374,499
1,N,0.8,70,300.0,0.61,0,0.3,0.8,0.205,4,6,0.205,1,0.183,20,1,150,150,900,264.907426099,264.907426099,0.294341584555,0,900,0.294341584555,440.343,alive,541,No,0.8,0.8,0.8,0.0,150,NA,NA,NA,NA,NA,0,0.686192974988,0.294341074127,0.2193,900,0.205659048403,0.686192974988,0.445926011696,0.139,541
1,N,0.8,70,300.0,0.61,0,0.3,0.8,0.205,4,6,0.205,1,0.183,21,1,160,160,960,287.135144589,287.135144589,0.299099108946,0,960,0.299099108946,470.6592,alive,584,No,0.8,0.8,0.8,0.0,160,NA,NA,NA,NA,NA,0,0.691724093305,0.299100042517,0.2203,960,0.20538415587,0.691724093305,0.448554124588,0.1406,584
1,N,0.8,70,300.0,0.61,0,0.3,0.8,0.205,4,6,0.205,1,0.183,22,1,170,170,1020,309.669580361,309.669580361,0.303597627805,0,1020,0.303597627805,500.9832,alive,627,No,0.8,0.8,0.8,0.0,170,NA,NA,NA,NA,NA,0,0.696911229375,0.303596861018,0.2213,1020,0.205449011515,0.696911229375,0.451180120445,0.1421,627
1,N,0.8,70,300.0,0.61,0,0.3,0.8,0.205,4,6,0.205,1,0.183,23,1,180,180,1080,332.44908566,332.44908566,0.307823227463,0,1080,0.307823227463,531.306,alive,670,No,0.8,0.8,0.8,0.0,180,NA,NA,NA,NA,NA,0,0.701747972598,0.307821040625,0.2221,1080,0.205733144053,0.701747972598,0.453740558325,0.1434,670
1,N,0.8,70,300.0,0.61,0,0.3,0.8,0.205,4,6,0.205,1,0.183,24,1,190,190,1140,355.409482765,355.409482765,0.31176270418,0,1140,0.31176270418,561.621,alive,714,No,0.8,0.8,0.8,0.0,190,NA,NA,NA,NA,NA,0,0.706228727007,0.311760464443,0.2228,1140,0.205438560194,0.706228727007,0.4558336436,0.1448,714
1,N,0.8,70,300.0,0.61,0,0.3,0.8,0.205,4,6,0.205,1,0.183,25,1,200,200,1200,378.484359331,378.484359331,0.315403632776,0,1200,0.315403632776,591.924,alive,758,No,0.8,0.8,0.8,0.0,200,NA,NA,NA,NA,NA,0,0.71034875371,0.315404974745,0.2235,1200,0.205261180732,0.71034875371,0.457804967221,0.146,758
1,N,0.8,70,300.0,0.61,0,0.3,0.8,0.205,4,6,0.205,1,0.183,26,1,210,210,1260,401.605384141,401.605384141,0.318734431858,0,1260,0.318734431858,622.188,alive,802,No,0.8,0.8,0.8,0.0,210,NA,NA,NA,NA,NA,0,0.714088204694,0.318731297719,0.2241,1260,0.20511282741,0.714088204694,0.459600516052,0.1471,802
1,N,0.8,70,300.0,0.61,0,0.3,0.8,0.205,4,6,0.205,1,0.183,27,1,220,220,1320,424.702641203,424.702641203,0.321744425154,0,1320,0.321744425154,652.4364,alive,845,No,0.8,0.8,0.8,0.0,220,NA,NA,NA,NA,NA,0,0.717460209839,0.321745858795,0.2246,1320,0.205557253053,0.717460209839,0.461508731446,0.1479,845
1,N,0.8,70,300.0,0.61,0,0.3,0.8,0.205,4,6,0.205,1,0.183,28,1,230,230,1380,447.704979923,447.704979923,0.324423898495,0,1380,0.324423898495,682.6308,alive,889,No,0.8,0.8,0.8,0.0,230,NA,NA,NA,NA,NA,0,0.720438865863,0.324420725093,0.225,1380,0.205282955783,0.720438865863,0.462860910823,0.1489,889
1,N,0.8,70,300.0,0.61,0,0.3,0.8,0.205,4,6,0.205,1,0.183,29,1,240,240,1440,470.540378936,470.540378936,0.326764152039,0,1440,0.326764152039,712.8,alive,932,No,0.8,0.8,0.8,0.0,240,NA,NA,NA,NA,NA,0,0.723039343144,0.326764557565,0.2254,1440,0.205457689218,0.723039343144,0.464248516181,0.1496,932
1,N,0.8,70,300.0,0.61,0,0.3,0.8,0.205,4,6,0.205,1,0.183,30,1,250,250,1500,493.136320977,493.136320977,0.328757547318,0,1500,0.328757547318,742.92,alive,975,No,0.8,0.8,0.8,0.0,250,NA,NA,NA,NA,NA,0,0.725245872868,0.328760755676,0.2257,1500,0.205432664063,0.725245872868,0.465339268466,0.1502,975
